Ulrich Natusch 	VN NN 
Trainer Ulrich Natusch 	TIT VN NN 
Christian Wriedt 	VN NN 
Alex Petkovic 	VN NN 
Cruisergewichtsprofi Alex Petkovic 	TIT VN NN 
Dagmar Klostermann 	VN NN 
Ärztin Dagmar Klostermann 	TIT VN NN 
Regionalliga Nord 	TIT NN 
Birgit Fischer 	VN NN 
Florian Mayer 	VN NN 
Tennisprofi Florian Mayer 	TIT VN NN 
Nicolas Kiefer 	VN NN 
Dietmar Beiersdorfer 	VN NN 
Simon Rolfes 	VN NN 
Thomas Doll 	VN NN 
Trainer Thomas Doll 	TIT VN NN 
Thomas Doll 	VN NN 
Trainer Thomas Doll 	TIT VN NN 
Champions League 	TIT NN 
Champions League 	TIT NN 
Fabio Cannavaro 	VN NN 
Kapitän Fabio Cannavaro 	TIT VN NN 
Fabio Capello 	VN NN 
Rafael Benitez 	VN NN 
Teammanager Rafael Benitez 	TIT VN NN 
Steven Gerrard 	VN NN 
Ralf Peters 	VN NN 
Cony Theis 	VN NN 
Elke Dröscher 	VN NN 
Robert Fleck 	VN NN 
Deichtorhallendirektor Robert Fleck 	TIT VN NN 
Fred Astaire 	VN NN 
Franz Rompel 	VN NN 
Hans Zehetmair 	VN NN 
Renate Schmidt 	VN NN 
Bundesfamilienministerin Renate Schmidt 	TIT VN NN 
Marianne Leuzinger-Bohleber 	VN NN 
Kate Atkinson 	VN NN 
Schottin Kate Atkinson 	TIT VN NN 
Privatdetektiv Brodie 	TIT NN 
Ulrike Kriener 	VN NN 
Schauspielerin Ulrike Kriener 	TIT VN NN 
Ulrich Wickert 	VN NN 
Jan Hofer 	VN NN 
Claus Kleber 	VN NN 
Marietta Slomka 	VN NN 
Sarah Kuttner 	VN NN 
Moderatorin Sarah Kuttner 	TIT VN NN 
Sarah Kuttner 	VN NN 
Charlotte Roche 	VN NN 
Catherine Mühlemann 	VN NN 
Charlotte Roche 	VN NN 
Wolfgang Stein 	VN NN 
Holger Karsten Schmidt 	VN VN NN 
Stephan Wagner 	VN NN 
Regisseur Stephan Wagner 	TIT VN NN 
Wolfgang Stein 	VN NN 
Volker Erler 	VN NN 
Matthias Brandt 	VN NN 
Hannes Jaenicke 	VN NN 
Johannes Pauls 	VN NN 
Bundeskanzler Weyer 	TIT NN 
Klaus J . Behrendt 	VN MIX PU NN 
Heidi Klum 	VN NN 
Popstar Seal 	TIT NN 
Klaus Töpfer 	VN NN 
Maria Jepsen 	VN NN 
Hans-Jochen Jaschke 	VN NN 
Weihbischof Dr . Hans-Jochen Jaschke 	TIT TIT PU VN NN 
Albert Einstein 	VN NN 
Malte Wichmann 	VN NN 
Christian Wedekind 	VN NN 
Inga Schröder 	VN NN 
David Brandes 	VN NN 
Produzenten David Brandes 	TIT VN NN 
Karl Heinz Kögel 	VN VN NN 
Media-Control-Chef Karl Heinz Kögel 	TIT VN VN NN 
Jeanette Biedermann 	VN NN 
Nicole Süßmilch 	VN NN 
Michael Jackson 	VN NN 
Bohuslav Martinus 	VN NN 
Jean Michel Jarre 	VN VN NN 
Joseph Goebbels 	VN NN 
Lutz Hachmeister 	VN NN 
Udo Samel 	VN NN 
Alan Parkers 	VN NN 
Anna Maria Kaufmann 	VN VN NN 
Matthias Scheuring 	VN NN 
Michael Weber 	VN NN 
Schorsch Kamerun 	VN NN 
Else Kindt 	VN NN 
Else Kindt 	VN NN 
Else Kindt 	VN NN 
Ministerin Schmidt 	TIT NN 
Renate Schmidt 	VN NN 
Bundesfamilienministerin Renate Schmidt 	TIT VN NN 
Gerhard Schröder 	VN NN 
Kanzler Gerhard Schröder 	TIT VN NN 
Renate Schmidt 	VN NN 
Jörg Stumpf 	VN NN 
Ernst-Otto Kock 	VN NN 
Ernst-Otto Kock 	VN NN 
Beate Stoffers 	VN NN 
Sprecherin Beate Stoffers 	TIT VN NN 
Karin Leukefeld 	VN NN 
Karin Leukefeld 	VN NN 
Karin Leukefeld 	VN NN 
Karin Leukefeld 	VN NN 
Karin Leukefeld 	VN NN 
Karin Leukefeld 	VN NN 
Thomas Grabka 	VN NN 
Karin Leukefeld 	VN NN 
Thomas Grabka 	VN NN 
Karin Leukefeld 	VN NN 
Karin Leukefeld 	VN NN 
Karin Leukefeld 	VN NN 
Helmut Kohl 	VN NN 
Dr . Helmut Kohl 	TIT PU VN NN 
Helmut Kohl 	VN NN 
Helmut Kohl 	VN NN 
Henry Kissinger 	VN NN 
